model,deployment,protocol,mode,location,iterations,errors,concurrency,total_time_sec,throughput_fps,avg_latency_fps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,test_type,timestamp
yolov11s,nim-batching,grpc,concurrent,internal,200,0,8,0.8628468030001386,231.79085708447352,32.007397892912856,31.242777165007283,30.280748000222957,45.179017000918975,52.390195000043605,64.92488100047922,9.837202000198886,65.41919500159565,internal,2026-01-02T11:59:02.527532
yolov8l,base-yolo,http,concurrent,internal,200,0,8,9.44925574700028,21.165688108663073,2.6935835374894337,371.2526402400181,377.2315410005831,381.49791899923,382.8040130010777,385.5135129997507,51.263815999845974,385.98625300073763,internal,2026-01-02T11:59:16.345758
yolov8l,nim-binary,grpc,concurrent,internal,200,0,8,0.8413123610002913,237.7238339422553,32.77032207218619,30.515415679992657,29.271965000134514,41.929683999569534,47.183271999983845,65.49745999973311,12.064352999914263,65.92513199984751,internal,2026-01-02T10:17:34.778357
yolov8l,nim-grpc,grpc,concurrent,internal,200,0,8,0.7917538349997812,252.6037654115755,35.101185209032764,28.489066510001066,27.13231400002769,38.44194800012701,44.59854499964422,53.69357300014599,12.824308999825007,55.913966999924014,internal,2026-01-02T10:17:39.343181
yolov8l,nim-batching,grpc,concurrent,internal,200,0,8,0.8621462620003513,231.97919983548977,32.01160963255294,31.23866657998633,29.43248900010076,45.441541999935,51.012901999911264,65.95246200004112,11.694679999891378,68.68561200008116,internal,2026-01-02T10:17:43.809356
yolov8m,base-yolo,http,concurrent,internal,200,0,8,9.480536942999606,21.09585155381724,2.6845573977892565,372.5008825750956,378.4799790009856,382.5946839988319,383.97393000013835,385.34634800089407,51.650682000399684,385.5262329998368,internal,2026-01-02T11:59:43.926192
yolov8m,nim-binary,grpc,concurrent,internal,200,0,8,0.8502241480000521,235.23208611570482,33.132835699016304,30.18153982001877,28.25693000022511,42.55076999970697,47.7326139998695,63.25662099970941,11.141541000142752,63.70813700004874,internal,2026-01-02T11:59:48.499483
yolov8m,nim-grpc,grpc,concurrent,internal,200,0,8,0.8427664579999146,237.31366869375367,32.74028335455973,30.54341311498547,28.653131000282883,44.248733000131324,47.93638599994665,53.79251500016835,11.332008999943355,65.61601400017025,internal,2026-01-02T10:18:07.988586
yolov8m,nim-batching,grpc,concurrent,internal,200,0,8,0.8473311449997709,236.0352279982038,32.93454863912517,30.36325200497913,29.383642000084365,43.196974999773374,50.88988099987546,63.926195000021835,11.720409000190557,66.76938200007498,internal,2026-01-02T10:18:12.520798
yolov8s,base-yolo,http,concurrent,internal,200,0,8,9.465027573998668,21.130419160047566,2.6892515702558746,371.8506706700009,377.6783670000441,381.7637200008903,383.5488919994532,385.1390040017577,52.51734899866278,385.3476069998578,internal,2026-01-02T12:00:11.439504
